table_name,column_name,data_type
accepted_friends,id,uuid
accepted_friends,friend_user_id,uuid
accepted_friends,status,text
accepted_friends,requested_at,timestamp with time zone
accepted_friends,responded_at,timestamp with time zone
activities,id,uuid
activities,user_id,uuid
activities,activity_type,text
activities,book_id,integer
activities,review_id,uuid
activities,list_id,uuid
activities,data,jsonb
activities,created_at,timestamp with time zone
activities,user_profile_id,uuid
activities,group_id,uuid
activities,event_id,uuid
activity_log,id,uuid
activity_log,user_id,uuid
activity_log,action,text
activity_log,target_type,text
activity_log,target_id,uuid
activity_log,data,jsonb
activity_log,created_at,timestamp with time zone
album_analytics,id,uuid
album_analytics,album_id,uuid
album_analytics,date,date
album_analytics,views,integer
album_analytics,unique_views,integer
album_analytics,shares,integer
album_analytics,likes,integer
album_analytics,created_at,timestamp with time zone
album_images,id,uuid
album_images,album_id,uuid
album_images,image_id,integer
album_images,display_order,integer
album_images,is_cover,boolean
album_images,is_featured,boolean
album_images,metadata,jsonb
album_images,created_at,timestamp with time zone
album_images,updated_at,timestamp with time zone
album_shares,id,uuid
album_shares,album_id,uuid
album_shares,shared_by,uuid
album_shares,shared_with,uuid
album_shares,share_type,character varying
album_shares,access_token,uuid
album_shares,expires_at,timestamp with time zone
album_shares,created_at,timestamp with time zone
album_shares,updated_at,timestamp with time zone
authors,id,uuid
authors,name,text
authors,bio,text
authors,featured,boolean
authors,birth_date,date
authors,nationality,text
authors,website,text
authors,author_image_id,uuid
authors,author_gallery_id,uuid
authors,twitter_handle,text
authors,facebook_handle,text
authors,instagram_handle,text
authors,goodreads_url,text
authors,cover_image_id,uuid
authors,created_at,timestamp with time zone
authors,updated_at,timestamp with time zone
authors_old,id,uuid
authors_old,name,text
authors_old,bio,text
authors_old,featured,boolean
authors_old,birth_date,date
authors_old,nationality,text
authors_old,website,text
authors_old,author_image_id,integer
authors_old,author_gallery_id,integer
authors_old,twitter_handle,text
authors_old,facebook_handle,text
authors_old,instagram_handle,text
authors_old,goodreads_url,text
authors_old,cover_image_id,integer
authors_old,created_at,timestamp with time zone
authors_old,updated_at,timestamp with time zone
binding_types,id,uuid
binding_types,name,character varying
binding_types,description,text
binding_types,created_at,timestamp with time zone
binding_types,updated_at,timestamp with time zone
binding_types_old,id,integer
binding_types_old,name,character varying
binding_types_old,description,text
binding_types_old,created_at,timestamp with time zone
binding_types_old,updated_at,timestamp with time zone
blocks,id,uuid
blocks,user_id,uuid
blocks,blocked_user_id,uuid
blocks,created_at,timestamp with time zone
book_authors,id,uuid
book_authors,book_id,uuid
book_authors,author_id,uuid
book_authors,created_at,timestamp with time zone
book_authors,updated_at,timestamp with time zone
book_authors_old,id,integer
book_authors_old,book_id,integer
book_authors_old,created_at,timestamp with time zone
book_authors_old,updated_at,timestamp with time zone
book_authors_old,author_id,uuid
book_club_books,id,uuid
book_club_books,book_club_id,uuid
book_club_books,book_id,uuid
book_club_books,status,character varying
book_club_books,start_date,date
book_club_books,end_date,date
book_club_books,created_at,timestamp with time zone
book_club_books,created_by,uuid
book_club_books_old,id,uuid
book_club_books_old,book_club_id,uuid
book_club_books_old,book_id,integer
book_club_books_old,status,character varying
book_club_books_old,start_date,date
book_club_books_old,end_date,date
book_club_books_old,created_at,timestamp with time zone
book_club_books_old,created_by,uuid
book_club_discussion_comments,id,uuid
book_club_discussion_comments,discussion_id,uuid
book_club_discussion_comments,content,text
book_club_discussion_comments,created_by,uuid
book_club_discussion_comments,created_at,timestamp with time zone
book_club_discussion_comments,updated_at,timestamp with time zone
book_club_discussions,id,uuid
book_club_discussions,book_club_id,uuid
book_club_discussions,title,character varying
book_club_discussions,content,text
book_club_discussions,created_by,uuid
book_club_discussions,created_at,timestamp with time zone
book_club_discussions,updated_at,timestamp with time zone
book_club_discussions,book_id,integer
book_club_discussions,is_pinned,boolean
book_club_members,id,uuid
book_club_members,book_club_id,uuid
book_club_members,user_id,uuid
book_club_members,joined_at,timestamp with time zone
book_club_members,role,character varying
book_clubs,id,uuid
book_clubs,name,character varying
book_clubs,description,text
book_clubs,cover_image_url,text
book_clubs,created_by,uuid
