table_name,column_name,column_type
personalized_recommendations,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
personalized_recommendations,user_id,"""uuid"" NOT NULL"
personalized_recommendations,book_id,bigint NOT NULL
personalized_recommendations,recommendation_type,"""text"" NOT NULL"
personalized_recommendations,score,double precision NOT NULL
personalized_recommendations,explanation,"""text"""
personalized_recommendations,is_dismissed,boolean DEFAULT false
personalized_recommendations,created_at,"timestamp with time zone DEFAULT ""now""()"
personalized_recommendations,updated_at,"timestamp with time zone DEFAULT ""now""()"
friends,id,"""uuid"" DEFAULT ""gen_random_uuid""() NOT NULL"
friends,user_id,"""uuid"" NOT NULL"
friends,friend_id,"""uuid"" NOT NULL"
friends,status,"""text"" DEFAULT 'pending'::""text"" NOT NULL"
friends,requested_at,"timestamp with time zone DEFAULT ""now""() NOT NULL"
friends,responded_at,timestamp with time zone
friends,requested_by,"""uuid"" NOT NULL"
friends,created_at,"timestamp with time zone DEFAULT ""now""()"
friends,updated_at,"timestamp with time zone DEFAULT ""now""()"
users,id,"""uuid"" NOT NULL"
users,email,character varying(255)
users,name,character varying(255)
users,created_at,timestamp with time zone DEFAULT CURRENT_TIMESTAMP
users,updated_at,timestamp with time zone DEFAULT CURRENT_TIMESTAMP
users,role_id,"""uuid"""
activities,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
activities,user_id,"""uuid"" NOT NULL"
activities,activity_type,"""text"" NOT NULL"
activities,review_id,"""uuid"""
activities,list_id,"""uuid"""
activities,data,"""jsonb"""
activities,created_at,"timestamp with time zone DEFAULT ""now""()"
activities,user_profile_id,"""uuid"""
activities,group_id,"""uuid"""
activities,event_id,"""uuid"""
activities,book_id,"""uuid"""
activities,author_id,"""uuid"""
activity_log,id,"""uuid"" DEFAULT ""gen_random_uuid""() NOT NULL"
activity_log,user_id,"""uuid"""
activity_log,action,"""text"" NOT NULL"
activity_log,target_type,"""text"""
activity_log,target_id,"""uuid"""
activity_log,data,"""jsonb"""
activity_log,created_at,"timestamp with time zone DEFAULT ""now""() NOT NULL"
album_analytics,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
album_analytics,album_id,"""uuid"" NOT NULL"
album_analytics,date,"""date"" NOT NULL"
album_analytics,views,integer DEFAULT 0
album_analytics,unique_views,integer DEFAULT 0
album_analytics,shares,integer DEFAULT 0
album_analytics,likes,integer DEFAULT 0
album_analytics,created_at,"timestamp with time zone DEFAULT ""now""()"
album_images,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
album_images,album_id,"""uuid"" NOT NULL"
album_images,image_id,"""uuid"" NOT NULL"
album_images,display_order,integer NOT NULL
album_images,is_cover,boolean DEFAULT false
album_images,is_featured,boolean DEFAULT false
album_images,metadata,"""jsonb"""
album_images,created_at,"timestamp with time zone DEFAULT ""now""()"
album_images,updated_at,"timestamp with time zone DEFAULT ""now""()"
album_shares,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
album_shares,album_id,"""uuid"" NOT NULL"
album_shares,shared_by,"""uuid"" NOT NULL"
album_shares,shared_with,"""uuid"""
album_shares,share_type,character varying(50) NOT NULL
album_shares,access_token,"""uuid"""
album_shares,expires_at,timestamp with time zone
album_shares,created_at,"timestamp with time zone DEFAULT ""now""()"
album_shares,updated_at,"timestamp with time zone DEFAULT ""now""()"
authors,id,"""uuid"" DEFAULT ""gen_random_uuid""() NOT NULL"
authors,name,"""text"" NOT NULL"
authors,bio,"""text"""
authors,featured,boolean DEFAULT false
authors,birth_date,"""date"""
authors,nationality,"""text"""
authors,website,"""text"""
authors,author_image_id,"""uuid"""
authors,author_gallery_id,integer
authors,twitter_handle,"""text"""
authors,facebook_handle,"""text"""
authors,instagram_handle,"""text"""
authors,goodreads_url,"""text"""
authors,cover_image_id,"""uuid"""
authors,created_at,"timestamp with time zone DEFAULT ""now""()"
authors,updated_at,"timestamp with time zone DEFAULT ""now""()"
binding_types,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
binding_types,name,character varying
binding_types,description,"""text"""
binding_types,created_at,timestamp with time zone
binding_types,updated_at,timestamp with time zone
blocks,id,"""uuid"" DEFAULT ""gen_random_uuid""() NOT NULL"
blocks,user_id,"""uuid"" NOT NULL"
blocks,blocked_user_id,"""uuid"" NOT NULL"
blocks,created_at,"timestamp with time zone DEFAULT ""now""() NOT NULL"
book_authors,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
book_authors,book_id,"""uuid"""
book_authors,author_id,"""uuid"""
book_authors,created_at,timestamp with time zone
book_authors,updated_at,timestamp with time zone
book_club_books,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
book_club_books,book_club_id,"""uuid"""
book_club_books,book_id,"""uuid"""
book_club_books,status,character varying
book_club_books,start_date,"""date"""
book_club_books,end_date,"""date"""
book_club_books,created_at,timestamp with time zone
book_club_books,created_by,"""uuid"""
book_club_discussion_comments,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
book_club_discussion_comments,discussion_id,"""uuid"" NOT NULL"
book_club_discussion_comments,content,"""text"" NOT NULL"
book_club_discussion_comments,created_by,"""uuid"" NOT NULL"
book_club_discussion_comments,created_at,"timestamp with time zone DEFAULT ""now""()"
book_club_discussion_comments,updated_at,"timestamp with time zone DEFAULT ""now""()"
book_club_discussions,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
book_club_discussions,book_club_id,"""uuid"" NOT NULL"
book_club_discussions,title,character varying(255) NOT NULL
book_club_discussions,content,"""text"""
book_club_discussions,created_by,"""uuid"" NOT NULL"
book_club_discussions,created_at,"timestamp with time zone DEFAULT ""now""()"
book_club_discussions,updated_at,"timestamp with time zone DEFAULT ""now""()"
book_club_discussions,is_pinned,boolean DEFAULT false
book_club_discussions,book_id,"""uuid"""
book_club_members,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
book_club_members,book_club_id,"""uuid"" NOT NULL"
book_club_members,user_id,"""uuid"" NOT NULL"
book_club_members,joined_at,"timestamp with time zone DEFAULT ""now""()"
book_club_members,role,character varying(50) DEFAULT 'member'::character varying
book_clubs,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
book_clubs,name,character varying(255) NOT NULL
book_clubs,description,"""text"""
book_clubs,cover_image_url,"""text"""
book_clubs,created_by,"""uuid"" NOT NULL"
book_clubs,created_at,"timestamp with time zone DEFAULT ""now""()"
book_clubs,updated_at,"timestamp with time zone DEFAULT ""now""()"
book_clubs,is_private,boolean DEFAULT false
book_clubs,member_count,integer DEFAULT 0
book_clubs,current_book_id,"""uuid"""
book_genre_mappings,id,"""uuid"" DEFAULT ""extensions"".""uuid_generate_v4""() NOT NULL"
book_genre_mappings,book_id,"""uuid"""
book_genre_mappings,genre_id,"""uuid"""
